Attorney_ID,Case_ID,Date,Hours_Worked,Task_Type,Billable
A008,CASE003,2025-04-27,2.6,Review,True
A009,CASE013,2025-03-21,1.1,Research,False
A006,CASE030,2025-03-19,2.0,Court Appearance,True
A008,CASE021,2025-03-21,2.0,Court Appearance,True
A010,CASE015,2025-04-25,6.3,Client Call,True
A010,CASE015,2025-03-27,1.4,Drafting,False
A009,CASE016,2025-03-21,3.0,Review,True
A006,CASE008,2025-03-31,6.0,Court Appearance,True
A009,CASE022,2025-04-11,4.7,Court Appearance,True
A001,CASE014,2025-04-05,6.2,Court Appearance,True
A005,CASE014,2025-04-15,4.4,Client Call,True
A006,CASE008,2025-03-23,3.8,Research,True
A002,CASE004,2025-04-07,2.9,Review,True
A008,CASE025,2025-04-05,2.4,Court Appearance,True
A009,CASE005,2025-04-20,2.0,Court Appearance,False
A009,CASE020,2025-04-01,5.7,Client Call,False
A004,CASE029,2025-05-07,6.6,Drafting,True
A010,CASE008,2025-05-04,6.5,Court Appearance,True
A004,CASE014,2025-04-20,2.9,Research,True
A009,CASE021,2025-05-05,2.9,Research,True
A009,CASE011,2025-03-16,5.4,Review,True
A010,CASE029,2025-04-05,7.0,Court Appearance,True
A003,CASE009,2025-03-28,3.6,Court Appearance,True
A002,CASE024,2025-03-18,2.5,Court Appearance,True
A002,CASE018,2025-05-12,2.9,Research,True
A001,CASE018,2025-04-01,3.5,Client Call,True
A003,CASE020,2025-05-12,7.7,Client Call,True
A004,CASE014,2025-04-04,5.8,Research,True
A007,CASE013,2025-03-22,2.5,Drafting,False
A010,CASE007,2025-03-26,0.9,Research,True
A006,CASE007,2025-05-05,5.3,Review,True
A001,CASE027,2025-04-18,4.2,Drafting,False
A005,CASE001,2025-04-16,1.1,Research,True
A001,CASE020,2025-04-28,6.0,Drafting,True
A010,CASE016,2025-03-14,7.9,Research,True
A003,CASE013,2025-03-18,1.6,Review,True
A007,CASE025,2025-04-11,6.9,Drafting,True
A003,CASE030,2025-04-11,0.6,Court Appearance,True
A001,CASE026,2025-04-20,3.1,Research,True
A008,CASE020,2025-03-16,5.7,Client Call,True
A008,CASE027,2025-03-24,6.8,Research,True
A002,CASE020,2025-03-26,1.4,Client Call,False
A002,CASE028,2025-04-25,2.4,Client Call,True
A001,CASE003,2025-04-24,7.9,Research,True
A003,CASE026,2025-03-18,2.3,Drafting,True
A010,CASE017,2025-04-18,4.7,Research,False
A007,CASE001,2025-04-13,2.6,Court Appearance,True
A001,CASE021,2025-05-06,6.9,Research,True
A006,CASE024,2025-05-11,5.3,Drafting,True
A009,CASE017,2025-03-20,7.2,Court Appearance,True
A007,CASE016,2025-04-05,3.3,Research,False
A009,CASE008,2025-04-22,0.5,Client Call,True
A003,CASE023,2025-04-05,4.1,Review,True
A005,CASE013,2025-03-15,2.2,Research,True
A007,CASE019,2025-04-01,4.2,Court Appearance,True
A009,CASE009,2025-05-03,5.4,Drafting,True
A005,CASE016,2025-04-14,4.3,Review,True
A007,CASE003,2025-04-23,4.2,Court Appearance,False
A004,CASE010,2025-04-07,6.5,Drafting,True
A007,CASE029,2025-04-15,5.5,Drafting,False
A009,CASE010,2025-05-09,5.9,Court Appearance,True
A004,CASE027,2025-04-13,6.3,Drafting,True
A004,CASE010,2025-03-17,7.6,Review,False
A002,CASE016,2025-04-04,7.1,Review,True
A006,CASE020,2025-05-02,7.5,Review,True
A006,CASE019,2025-03-25,4.8,Drafting,False
A010,CASE014,2025-05-10,2.7,Research,True
A010,CASE021,2025-05-08,2.9,Research,True
A004,CASE015,2025-03-20,3.5,Court Appearance,False
A001,CASE027,2025-05-06,4.8,Client Call,True
A005,CASE027,2025-05-03,2.4,Client Call,True
A002,CASE027,2025-05-12,6.1,Court Appearance,True
A007,CASE010,2025-03-30,5.8,Client Call,True
A006,CASE014,2025-03-21,6.6,Research,False
A003,CASE027,2025-04-13,5.1,Research,True
A001,CASE016,2025-04-19,5.2,Drafting,True
A001,CASE009,2025-03-23,7.1,Client Call,True
A001,CASE012,2025-05-04,1.2,Court Appearance,True
A001,CASE023,2025-04-30,4.0,Review,True
A004,CASE004,2025-04-12,6.8,Research,False
A007,CASE019,2025-05-04,0.8,Court Appearance,False
A010,CASE017,2025-03-17,1.5,Review,True
A010,CASE017,2025-04-28,2.5,Drafting,False
A003,CASE029,2025-05-04,6.8,Court Appearance,True
A003,CASE021,2025-03-27,5.3,Review,True
A010,CASE016,2025-03-22,7.8,Court Appearance,True
A003,CASE019,2025-05-04,6.5,Drafting,True
A003,CASE010,2025-05-08,6.1,Client Call,True
A007,CASE013,2025-05-10,7.7,Research,False
A008,CASE014,2025-04-06,5.7,Client Call,True
A007,CASE008,2025-04-12,1.7,Research,True
A007,CASE025,2025-04-03,5.5,Review,True
A008,CASE009,2025-03-22,6.0,Review,True
A002,CASE030,2025-05-10,3.6,Court Appearance,True
A002,CASE003,2025-04-09,6.2,Drafting,True
A004,CASE026,2025-04-26,0.8,Drafting,True
A009,CASE021,2025-03-19,1.8,Client Call,True
A009,CASE007,2025-04-23,4.2,Research,True
A001,CASE004,2025-05-12,4.0,Client Call,True
A002,CASE022,2025-04-19,5.1,Client Call,True
A003,CASE001,2025-04-16,2.5,Court Appearance,True
A007,CASE017,2025-04-08,4.3,Review,False
A008,CASE026,2025-04-25,5.6,Client Call,True
A003,CASE027,2025-05-04,0.7,Court Appearance,True
A001,CASE019,2025-03-28,6.5,Court Appearance,True
A007,CASE022,2025-03-22,5.3,Court Appearance,True
A009,CASE007,2025-03-23,6.7,Research,True
A008,CASE015,2025-04-30,7.7,Drafting,False
A006,CASE002,2025-04-13,2.6,Client Call,True
A005,CASE010,2025-05-12,0.8,Research,True
A002,CASE020,2025-03-22,5.4,Client Call,True
A010,CASE027,2025-03-21,0.7,Research,False
A008,CASE007,2025-03-30,4.2,Client Call,True
A001,CASE020,2025-04-16,5.2,Drafting,False
A002,CASE019,2025-04-25,3.6,Drafting,False
A008,CASE003,2025-04-20,1.8,Court Appearance,True
A001,CASE007,2025-03-18,7.9,Client Call,True
A007,CASE005,2025-03-19,2.4,Review,True
A009,CASE003,2025-04-28,2.3,Research,True
A005,CASE026,2025-05-11,2.3,Research,True
A005,CASE006,2025-03-14,4.3,Review,False
A006,CASE007,2025-03-19,7.2,Drafting,True
A010,CASE010,2025-04-18,7.7,Research,False
A004,CASE002,2025-04-24,2.9,Drafting,False
A010,CASE011,2025-05-06,4.8,Review,True
A001,CASE011,2025-03-22,1.2,Drafting,True
A004,CASE014,2025-05-05,5.5,Research,True
A007,CASE002,2025-03-25,1.4,Client Call,False
A001,CASE004,2025-03-23,0.9,Review,True
A003,CASE011,2025-04-09,6.0,Court Appearance,True
A006,CASE008,2025-04-13,1.4,Client Call,True
A003,CASE012,2025-04-26,6.8,Review,False
A005,CASE004,2025-04-13,2.2,Court Appearance,True
A008,CASE001,2025-05-09,5.8,Review,True
A009,CASE008,2025-04-02,2.2,Review,True
A004,CASE006,2025-04-19,3.3,Research,False
A002,CASE001,2025-03-31,4.9,Drafting,True
A001,CASE011,2025-05-01,1.1,Court Appearance,True
A009,CASE029,2025-04-28,2.4,Court Appearance,True
A010,CASE003,2025-03-23,2.4,Client Call,True
A010,CASE028,2025-03-28,6.1,Research,True
A002,CASE007,2025-03-25,6.1,Drafting,True
A001,CASE013,2025-04-18,7.7,Research,True
A003,CASE003,2025-04-30,1.1,Review,True
A005,CASE015,2025-04-11,7.7,Review,True
A005,CASE019,2025-03-15,0.8,Review,False
A009,CASE016,2025-05-09,7.9,Court Appearance,True
A005,CASE018,2025-04-19,5.7,Research,True
A007,CASE016,2025-05-05,2.1,Research,True
A007,CASE020,2025-04-19,5.2,Research,True
A002,CASE021,2025-04-19,7.4,Drafting,False
A005,CASE016,2025-04-25,1.3,Client Call,True
A002,CASE005,2025-05-12,1.9,Client Call,True
A007,CASE029,2025-04-30,2.2,Review,True
A001,CASE004,2025-03-18,7.8,Research,False
A003,CASE003,2025-05-01,2.6,Review,True
A007,CASE007,2025-04-29,5.6,Court Appearance,True
A007,CASE022,2025-03-26,6.7,Review,False
A005,CASE008,2025-05-11,5.1,Client Call,True
A001,CASE002,2025-04-26,4.6,Research,True
A007,CASE023,2025-04-20,6.3,Research,True
A006,CASE002,2025-03-30,3.3,Research,True
A004,CASE022,2025-04-29,7.8,Review,False
A002,CASE022,2025-04-18,1.0,Research,True
A008,CASE010,2025-04-06,0.6,Drafting,True
A002,CASE015,2025-04-12,6.6,Court Appearance,False
A004,CASE009,2025-05-08,4.7,Review,True
A003,CASE005,2025-04-26,6.2,Review,True
A010,CASE011,2025-05-11,3.9,Court Appearance,True
A002,CASE009,2025-04-19,2.6,Research,True
A010,CASE001,2025-04-18,5.5,Drafting,True
A009,CASE027,2025-04-03,2.5,Client Call,True
A004,CASE020,2025-03-23,4.4,Court Appearance,True
A006,CASE023,2025-03-23,2.8,Drafting,False
A003,CASE024,2025-03-20,4.7,Research,False
A005,CASE003,2025-05-08,4.9,Review,True
A004,CASE021,2025-04-28,5.2,Court Appearance,True
A001,CASE029,2025-04-19,7.3,Client Call,True
A006,CASE018,2025-04-27,3.1,Court Appearance,True
A006,CASE026,2025-03-28,1.2,Research,True
A005,CASE012,2025-03-18,4.4,Drafting,True
A007,CASE011,2025-04-15,2.7,Research,True
A002,CASE019,2025-05-02,7.6,Research,True
A009,CASE025,2025-05-01,4.2,Review,True
A003,CASE013,2025-05-06,7.9,Review,True
A009,CASE027,2025-05-05,2.1,Court Appearance,True
A006,CASE006,2025-03-20,1.1,Court Appearance,True
A008,CASE024,2025-05-09,1.5,Drafting,True
A002,CASE001,2025-04-02,3.1,Court Appearance,False
A003,CASE006,2025-03-17,4.4,Review,False
A009,CASE012,2025-03-15,1.9,Review,True
A005,CASE026,2025-05-06,3.1,Review,True
A001,CASE015,2025-04-04,4.6,Drafting,True
A001,CASE025,2025-05-07,2.0,Client Call,True
A008,CASE017,2025-04-22,5.7,Research,True
A009,CASE026,2025-03-21,4.1,Court Appearance,True
A002,CASE003,2025-05-08,7.4,Client Call,True
A007,CASE008,2025-05-01,7.0,Court Appearance,True
A008,CASE013,2025-05-03,1.9,Client Call,True
A002,CASE002,2025-03-31,6.2,Client Call,True
A002,CASE012,2025-04-28,6.1,Court Appearance,True
A001,CASE009,2025-03-17,5.9,Court Appearance,False
A009,CASE012,2025-05-11,4.5,Client Call,True
A006,CASE020,2025-03-20,3.2,Research,True
A006,CASE023,2025-04-30,6.0,Research,True
A004,CASE018,2025-03-29,6.8,Drafting,True
A006,CASE007,2025-05-07,2.2,Research,True
A009,CASE007,2025-04-17,5.6,Review,True
A003,CASE015,2025-04-02,4.1,Client Call,True
A003,CASE029,2025-03-22,4.7,Drafting,True
A008,CASE024,2025-04-07,1.5,Drafting,True
A008,CASE001,2025-03-30,5.3,Court Appearance,True
A009,CASE005,2025-04-14,7.9,Research,True
A003,CASE003,2025-04-08,0.6,Drafting,True
A002,CASE007,2025-04-06,6.9,Research,True
A006,CASE022,2025-03-20,1.1,Review,True
A002,CASE005,2025-04-27,7.9,Client Call,True
A007,CASE020,2025-04-26,4.8,Research,False
A007,CASE012,2025-04-17,4.2,Research,True
A002,CASE026,2025-03-19,5.9,Client Call,True
A007,CASE017,2025-04-01,2.6,Client Call,True
A002,CASE001,2025-03-25,2.9,Research,True
A003,CASE020,2025-04-03,6.0,Research,True
A008,CASE004,2025-03-28,5.1,Review,True
A008,CASE011,2025-04-12,4.3,Review,False
A004,CASE003,2025-04-05,4.5,Client Call,True
A007,CASE027,2025-04-07,3.9,Client Call,True
A004,CASE004,2025-05-03,7.9,Client Call,True
A008,CASE018,2025-03-26,1.2,Research,True
A006,CASE024,2025-03-19,6.2,Court Appearance,True
A008,CASE021,2025-04-27,3.1,Drafting,False
A003,CASE001,2025-04-15,7.7,Court Appearance,True
A005,CASE020,2025-04-05,7.5,Court Appearance,True
A006,CASE013,2025-04-09,7.4,Drafting,True
A008,CASE007,2025-05-07,6.8,Research,True
A010,CASE009,2025-03-15,6.1,Court Appearance,True
A009,CASE009,2025-04-20,1.7,Court Appearance,False
A005,CASE005,2025-04-23,5.3,Research,False
A001,CASE027,2025-03-17,7.1,Court Appearance,True
A010,CASE024,2025-04-26,5.2,Research,True
A008,CASE028,2025-04-11,2.2,Client Call,False
A008,CASE019,2025-03-27,4.6,Court Appearance,False
A004,CASE013,2025-04-16,4.6,Court Appearance,True
A001,CASE025,2025-04-11,5.2,Drafting,True
A009,CASE026,2025-05-12,6.5,Drafting,True
A001,CASE014,2025-04-08,6.1,Review,True
A006,CASE023,2025-04-29,1.6,Review,True
A005,CASE004,2025-04-21,6.3,Drafting,True
A009,CASE026,2025-04-04,4.8,Court Appearance,True
A007,CASE024,2025-04-21,6.2,Review,True
A010,CASE003,2025-05-07,1.3,Drafting,False
A003,CASE019,2025-05-09,3.5,Review,True
A004,CASE010,2025-04-22,4.1,Review,True
A009,CASE011,2025-03-23,5.9,Court Appearance,True
A005,CASE019,2025-05-08,4.7,Court Appearance,True
A007,CASE018,2025-05-10,3.1,Client Call,True
A007,CASE030,2025-03-21,3.1,Client Call,True
A001,CASE027,2025-04-27,7.6,Review,True
A010,CASE010,2025-05-07,1.5,Research,True
A009,CASE003,2025-05-04,0.6,Drafting,False
A003,CASE005,2025-03-22,1.3,Review,False
A001,CASE010,2025-03-18,7.4,Client Call,True
A009,CASE028,2025-03-20,6.3,Research,True
A002,CASE023,2025-03-30,3.7,Research,True
A009,CASE020,2025-03-19,7.4,Review,True
A002,CASE011,2025-03-27,7.9,Research,False
A008,CASE002,2025-03-22,3.0,Court Appearance,True
A003,CASE013,2025-04-24,4.9,Research,True
A006,CASE008,2025-05-04,6.1,Research,True
A009,CASE023,2025-03-14,0.5,Drafting,True
A002,CASE030,2025-03-17,4.5,Client Call,False
A008,CASE004,2025-03-14,4.0,Court Appearance,True
A004,CASE020,2025-04-27,3.9,Drafting,True
A010,CASE027,2025-03-17,7.3,Research,True
A006,CASE014,2025-04-27,4.2,Research,True
A006,CASE013,2025-03-27,3.2,Client Call,True
A010,CASE026,2025-05-09,0.6,Research,True
A005,CASE008,2025-03-14,7.7,Drafting,True
A006,CASE027,2025-03-15,4.5,Research,True
A009,CASE003,2025-05-11,2.8,Court Appearance,True
A008,CASE013,2025-03-17,2.1,Review,False
A002,CASE029,2025-04-08,5.2,Court Appearance,True
A009,CASE022,2025-05-09,1.0,Client Call,True
A008,CASE009,2025-04-13,4.4,Client Call,True
A006,CASE023,2025-05-08,4.2,Drafting,True
A003,CASE005,2025-04-29,1.9,Court Appearance,False
A010,CASE020,2025-04-24,3.3,Client Call,True
A008,CASE007,2025-04-18,3.6,Drafting,True
A004,CASE004,2025-03-25,6.8,Research,False
A010,CASE029,2025-04-08,4.6,Court Appearance,True
A005,CASE002,2025-04-28,4.3,Research,True
A002,CASE027,2025-03-15,6.5,Research,True
A005,CASE014,2025-04-16,4.7,Court Appearance,True
A009,CASE010,2025-05-08,2.3,Court Appearance,True
A001,CASE022,2025-03-24,7.7,Review,False
A007,CASE017,2025-03-23,3.5,Client Call,True
A010,CASE014,2025-04-05,0.6,Review,True
A003,CASE004,2025-03-26,0.7,Drafting,True
A008,CASE015,2025-04-20,5.3,Research,True
A002,CASE030,2025-04-19,6.6,Client Call,True
